x,y,state_label
4.7832527,0.43624824,3
4.7272997,0.4460663,3
4.6894803,0.31666592,3
4.839338,0.3169915,3
4.6214337,0.38421053,3
4.7206216,0.425139,3
4.659186,0.4233351,3
4.802523,0.41777277,3
4.8139925,0.38698423,3
5.0455704,0.478703,3
4.876659,0.46936017,3
5.0452194,0.5032272,3
4.911427,0.5276074,3
5.000645,0.62137085,3
4.99385,0.61596376,3
5.0794597,0.7441105,3
5.0484242,0.7466146,3
5.142157,0.8070776,3
5.007286,0.59075814,3
5.134267,0.60662025,3
5.0347342,0.559511,3
5.068146,0.6734107,3
5.0628552,0.67840433,3
5.0863724,0.73684454,3
5.0367165,0.72614646,3
4.9837146,0.6304083,3
5.0011053,0.6811028,3
5.1042714,0.76903105,3
5.068691,0.7116849,3
5.108608,0.773676,3
5.172117,0.7599695,3
5.05834,0.85881513,3
5.101868,0.8344723,3
5.1889567,0.88548934,3
5.2560062,1.0277798,3
5.184372,0.945842,3
5.207894,0.97405565,3
5.209086,0.99638313,3
5.224254,1.0477601,3
5.3594227,1.1452078,3
5.1700644,1.0123111,3
5.169795,1.0494496,3
5.0797744,1.0541862,3
5.1380534,1.035552,3
5.097302,1.1440125,3
5.1210365,1.182255,3
5.038014,1.0514125,3
4.9676166,1.0636946,3
5.0767546,1.226897,3
5.0775123,1.3130428,3
5.1892357,1.3667898,3
5.2050705,1.3384696,3
5.322924,1.3841292,3
5.1923227,1.4899017,3
5.218328,1.479113,3
5.1776147,1.5171138,3
5.1896653,1.6207767,3
5.213835,1.6098695,3
5.0761175,1.6300349,3
5.127861,1.7810916,3
5.132557,1.7983012,3
5.087972,1.8389438,3
5.0388236,1.9282197,3
5.0829554,1.9549265,3
4.9965625,2.0030713,3
4.9572206,2.1753328,3
4.9160237,2.1679657,3
4.8705053,2.232619,3
4.9237137,2.1505756,3
4.880902,2.2073474,3
4.8505874,2.180684,3
4.8752985,2.19713,3
4.8514667,2.3996751,3
4.7798963,2.4299352,3
4.785068,2.4265852,3
4.74533,2.527409,3
4.7514534,2.546426,3
4.72638,2.5515766,3
4.6686754,2.6770432,3
4.6769004,2.6558979,3
4.5523133,2.642983,3
4.4838815,2.7107513,3
4.468032,2.8067446,3
4.144484,2.9868906,3
3.8017373,3.275192,3
3.5445168,3.3886206,3
3.363382,3.4861033,3
3.270136,3.5479023,3
3.1483626,3.6388695,3
3.1442556,3.6002028,3
3.0136263,3.6493125,3
2.915888,3.7140384,3
2.8844743,3.7178745,3
2.838,3.721358,3
2.7729442,3.740579,3
2.730896,3.6557767,3
2.730521,3.7404497,3
2.715832,3.7492073,3
2.6811724,3.7866337,3
2.6374269,3.808335,3
2.5848436,3.8094761,3
2.5402026,3.8859148,3
2.543536,3.909697,6
2.440525,3.9799423,6
2.440189,3.987872,6
2.2389326,4.044516,6
1.7509357,4.268275,6
1.9926304,4.155752,6
